band,s,n_eff,m_comm,n_distinct,ostar,qstar,xs_coph_vs_s0,xs_reorg_vs_s0,xs_coph_adjacent,xs_reorg_adjacent,pairfrac_o1,pairfrac_o2,pairfrac_o3,pairfrac_o4,pairfrac_o5,pairfrac_o6,pairfrac_o7,pairfrac_o8
theta,0.02,118.0,1.0,20.0,6.0,5.0,1.0,1.0,0.0,0.0,0.5143322350530266,0.4994175243040015,0.48824958379722716,0.5430637744673918,0.42549675592307196,0.4870395555116033,0.5223337483473176,0.5121070591664796
theta,0.026827870768216803,114.3225806451613,4.612903225806452,19.451612903225808,5.838709677419355,4.870967741935484,0.0,0.0,0.0,0.0,0.4456571150669486,0.621311330122367,0.5481000241746558,0.3968738449336065,0.4808045720779616,0.5296762685435148,0.5209254810851774,0.5406926735986155
theta,0.03598673249780708,110.64516129032258,8.225806451612904,18.903225806451612,5.67741935483871,4.741935483870968,0.0,0.0,0.0,0.0,0.5043389796704166,0.4888739848069662,0.4250769061796469,0.5989255039012982,0.5516139614171381,0.5288092128780403,0.48907143882373516,0.4882797055577087
theta,0.048272370441077836,106.96774193548387,11.838709677419354,18.35483870967742,5.516129032258064,4.612903225806452,0.0,0.0,0.0,0.0,0.540620598993205,0.5335776390175517,0.48754091538982003,0.5093011856514709,0.5813403346022613,0.4590316220722171,0.5289123736722281,0.5893850064655916
theta,0.06475224579343625,103.29032258064517,15.451612903225806,17.806451612903224,5.354838709677419,4.483870967741936,0.0,0.0,0.0,0.0,0.5294330529647081,0.4221500954875643,0.5194224798288284,0.41233684469752685,0.4632976721152339,0.5733366300481757,0.6151221586686408,0.5996945828228305
theta,0.08685824410490588,99.61290322580645,19.064516129032256,17.258064516129032,5.193548387096774,4.354838709677419,0.0,0.0,0.0,0.0,0.48165977622997125,0.5179041392098145,0.5558678286398335,0.4029877735738369,0.5401701552731325,0.4409773083888075,0.4940491997515298,0.5049798672278167
theta,0.11651108740003221,95.93548387096774,22.677419354838708,16.70967741935484,5.032258064516129,4.225806451612903,0.0,0.0,0.0,0.0,0.4513481661960471,0.5772347389460755,0.5627282353364272,0.48915157491999495,0.5104118192653687,0.4926977284151889,0.5243391076550548,0.4465012034632565
theta,0.1562872197916239,92.25806451612902,26.29032258064516,16.161290322580644,4.870967741935484,4.096774193548387,0.0,0.0,0.0,0.0,0.5540617597383185,0.6151588104626143,0.5418527662351877,0.558000935677035,0.44413565575534675,0.571493480154885,0.6088630174993352,0.41214058003963583
theta,0.20964266676467905,88.58064516129032,29.903225806451612,15.612903225806452,4.709677419354839,3.967741935483871,0.0,0.0,0.0,0.0,0.38250862358618776,0.6297880707444753,0.4603299822040413,0.48643340405753055,0.4391098085475382,0.5166045950590958,0.528057996111698,0.48988026784797006
theta,0.28121331857335746,84.90322580645162,33.516129032258064,15.064516129032258,4.548387096774194,3.838709677419355,0.0,0.0,0.0,0.0,0.4848987491662314,0.5193033749533763,0.48994909246787655,0.3933433556450142,0.47548589702835553,0.4725342094226358,0.4938319517033313,0.6524996873189072
theta,0.3772177284493708,81.2258064516129,37.12903225806451,14.516129032258064,4.387096774193548,3.709677419354839,0.0,0.0,0.0,0.0,0.4976885913358964,0.4662045221515234,0.47287662391170604,0.46054106573946485,0.46577097776083176,0.504228903646563,0.49815075108359397,0.4091838161564787
theta,0.5059974235160012,77.54838709677419,40.74193548387097,13.967741935483872,4.225806451612903,3.5806451612903225,0.0,0.0,0.0,0.0,0.5163867449412134,0.5325114513919273,0.5757659179059589,0.5539330828883925,0.5353885074658944,0.6744135159654543,0.43028201641712915,0.4431942502454077
theta,0.6787416743568971,73.87096774193549,44.354838709677416,13.419354838709678,4.064516129032258,3.4516129032258065,0.0,0.0,0.0,0.0,0.40565440678116504,0.5782444109453176,0.5172853660123405,0.5457520022548603,0.5700050491782446,0.6525344771266799,0.41490373630392957,0.4776193660848585
theta,0.9104596962324965,70.19354838709677,47.96774193548387,12.870967741935484,3.903225806451613,3.3225806451612905,0.0,0.0,0.0,0.0,0.353163024940776,0.5097551934107125,0.5477503814888953,0.470532534606541,0.49154718087992544,0.45628970988380135,0.4902549180601779,0.417589793374153
theta,1.2212847535097677,66.51612903225806,51.58064516129032,12.322580645161292,3.741935483870968,3.193548387096774,0.0,0.0,0.0,0.0,0.38711548017921704,0.5464295663431127,0.4896362865689624,0.4964983465786681,0.6467358148508265,0.47373341051018175,0.46873523469174216,0.5316043393225495
theta,1.638223476917678,62.83870967741936,55.193548387096776,11.774193548387098,3.5806451612903225,3.064516129032258,0.0,0.0,0.0,0.0,0.4060712007758479,0.510650405750916,0.6453008133246252,0.5108244040947787,0.49923399486181186,0.4385627322593264,0.6122434152672636,0.4687444090692203
theta,2.197502386410313,59.16129032258065,58.806451612903224,11.225806451612904,3.4193548387096775,2.935483870967742,0.0,0.0,0.0,0.0,0.4970952732025245,0.5069554311872759,0.47069653919610943,0.540774895852311,0.38956416128180954,0.5299793801782773,0.352841027162889,0.4306984948558386
theta,2.947715501773197,55.483870967741936,62.41935483870967,10.67741935483871,3.2580645161290325,2.806451612903226,0.0,0.0,0.0,0.0,0.43771047616351977,0.45982983901321645,0.5543770870686742,0.330467440975742,0.3789558277987325,0.4115482488463585,0.5591017526224245,0.5003099593199736
theta,3.9540465271520318,51.80645161290323,66.03225806451613,10.129032258064516,3.096774193548387,2.67741935483871,0.0,0.0,0.0,0.0,0.48127174021790675,0.4072452604373822,0.5905130722398817,0.5305077701126248,0.4558196709289989,0.718636416255211,0.5346299649082152,0.3741445638309966
theta,5.30393246209756,48.12903225806451,69.64516129032258,9.580645161290324,2.935483870967742,2.5483870967741935,0.0,0.0,0.0,0.0,0.5011506783410309,0.5308518494054747,0.581339940185833,0.5674685450168608,0.45960174330026077,0.5785164859723504,0.5352770241781906,0.46053727871188477
theta,7.114660732825161,44.45161290322581,73.25806451612902,9.03225806451613,2.774193548387097,2.4193548387096775,0.0,0.0,0.0,0.0,0.46441102893053166,0.4929545326264074,0.47530340569734675,0.5400360876829788,0.44888655122321597,0.6004257642817125,0.35225176624239035,0.5486410862950675
theta,9.543559934997008,40.7741935483871,76.87096774193549,8.483870967741936,2.6129032258064515,2.2903225806451615,0.0,0.0,0.0,0.0,0.5903644897755825,0.41434664722302716,0.46946363342586744,0.519637709501763,0.43310751390736324,0.3946739670146844,0.4882806864801664,0.4383076759510827
theta,12.80166963024157,37.096774193548384,80.48387096774194,7.935483870967744,2.4516129032258065,2.161290322580645,0.0,0.0,0.0,0.0,0.578357270246267,0.5313006326999093,0.5674577823403952,0.4964335819052387,0.4733577665800455,0.6272226346693022,0.4880035117201379,0.4657993717994665
theta,17.17207692287632,33.41935483870968,84.09677419354838,7.38709677419355,2.2903225806451615,2.032258064516129,0.0,0.0,0.0,0.0,0.5261778128232268,0.5058512559226922,0.6514695571292601,0.4456657839350895,0.4856658285551839,0.6604193521043396,0.4095708389672542,0.39210825848052655
theta,23.034513025440212,29.741935483870975,87.70967741935483,6.838709677419356,2.129032258064516,1.903225806451613,0.0,0.0,0.0,0.0,0.44640549969526633,0.5158263516332735,0.45151145812387716,0.49762163186338726,0.48248228652522235,0.5208483724835312,0.517504363690419,0.5206903147465574
theta,30.89834693276585,26.064516129032256,91.32258064516128,6.290322580645162,1.967741935483871,1.774193548387097,0.0,0.0,0.0,0.0,0.5453187343223865,0.5779778950236543,0.4464695702404425,0.5084185797003367,0.45722611012534464,0.5578121629139914,0.508666053429481,0.5355920363723565
theta,41.446842923188484,22.38709677419355,94.93548387096774,5.741935483870968,1.806451612903226,1.645161290322581,0.0,0.0,0.0,0.0,0.44753967555575846,0.4028613775366493,0.46596108811837234,0.4295539916078712,0.3908118859889385,0.4487477498661944,0.4690681356159814,0.5390241090795043
theta,55.59652728469412,18.709677419354847,98.54838709677419,5.193548387096776,1.645161290322581,1.5161290322580645,0.0,0.0,0.0,0.0,0.34863442278230183,0.5566914013859217,0.5309396340404526,0.4540947891260142,0.5676836665133226,0.6311239483282098,0.5289761150590955,0.5365043057743513
theta,74.57682245777069,15.032258064516128,102.16129032258064,4.645161290322582,1.483870967741936,1.3870967741935485,0.0,0.0,0.0,0.0,0.4466798791971084,0.37385472759073,0.4593026385794421,0.45157749656361423,0.5854239912053598,0.48056922425580456,0.5431488410524407,0.430939301978534
theta,100.03686776006599,11.354838709677423,105.77419354838709,4.096774193548388,1.32258064516129,1.2580645161290325,0.0,0.0,0.0,0.0,0.49190409590791995,0.5244751891185768,0.5257052813594719,0.537448017433289,0.5410719236631318,0.47273605113051453,0.4772437099953024,0.5198926546838181
theta,134.18880801621225,7.677419354838719,109.38709677419355,3.5483870967741957,1.161290322580645,1.129032258064516,0.0,0.0,0.0,0.0,0.42754953023153797,0.4563077027882108,0.5763694869350086,0.4545692793309235,0.5654394541401284,0.5669200001511041,0.5103296562039503,0.5190565866372836
theta,179.99999999999997,4.0,113.0,3.0,1.0,1.0,0.0,0.0,,,0.5504728003758402,0.5044169721136933,0.5718503100792933,0.4670498259187915,0.6439523663376568,0.5246510308093411,0.37428447154842936,0.5130332161655533
beta,0.02,118.0,1.0,20.0,6.0,5.0,1.0,1.0,0.0,0.0,0.5640113018126283,0.4999952484435172,0.36008017252655666,0.5756666212468626,0.4482225412240094,0.4381503893051473,0.4681626253043099,0.5132718023798606
beta,0.026827870768216803,114.3225806451613,4.612903225806452,19.451612903225808,5.838709677419355,4.870967741935484,0.0,0.0,0.0,0.0,0.30514516599109076,0.392507659931148,0.558875538504873,0.5446972916317576,0.4885543310408004,0.4767424899478432,0.4822295139008831,0.45126130022955574
beta,0.03598673249780708,110.64516129032258,8.225806451612904,18.903225806451612,5.67741935483871,4.741935483870968,0.0,0.0,0.0,0.0,0.45913593739960235,0.491736071722244,0.5510304347447956,0.5201283705287184,0.46460210175430405,0.4897940686950709,0.5456519900309271,0.44365464136935184
beta,0.048272370441077836,106.96774193548387,11.838709677419354,18.35483870967742,5.516129032258064,4.612903225806452,0.0,0.0,0.0,0.0,0.4869180189032715,0.5143828174266366,0.533080492362599,0.5074790201357436,0.5889505110029626,0.49813421920245704,0.42739885069399985,0.45003573080625975
beta,0.06475224579343625,103.29032258064517,15.451612903225806,17.806451612903224,5.354838709677419,4.483870967741936,0.0,0.0,0.0,0.0,0.5246297875007944,0.44878581911224674,0.4896115588778158,0.4294408693275251,0.5483974983633392,0.47606498029035677,0.45206832815747283,0.5919471841666188
beta,0.08685824410490588,99.61290322580645,19.064516129032256,17.258064516129032,5.193548387096774,4.354838709677419,0.0,0.0,0.0,0.0,0.3991317213825679,0.5599383469833723,0.5919151871849038,0.5237885816493669,0.510744308172557,0.5332616114810156,0.5169321664237823,0.5313039871017232
beta,0.11651108740003221,95.93548387096774,22.677419354838708,16.70967741935484,5.032258064516129,4.225806451612903,0.0,0.0,0.0,0.0,0.5060644683020505,0.38068970188118456,0.5451801112450272,0.424198518508841,0.5104984826718684,0.5873205140790803,0.4946235129168113,0.48809582188981815
beta,0.1562872197916239,92.25806451612902,26.29032258064516,16.161290322580644,4.870967741935484,4.096774193548387,0.0,0.0,0.0,0.0,0.35124409259632233,0.562049094860456,0.3989174922185523,0.4809497904987759,0.6217184569997055,0.47154332089112166,0.48445036352961557,0.5904038611611981
beta,0.20964266676467905,88.58064516129032,29.903225806451612,15.612903225806452,4.709677419354839,3.967741935483871,0.0,0.0,0.0,0.0,0.5402526463078544,0.4739359469734453,0.41888348711291723,0.48404806668372063,0.4926996219263361,0.346461456332668,0.5514285834612258,0.506484322789006
beta,0.28121331857335746,84.90322580645162,33.516129032258064,15.064516129032258,4.548387096774194,3.838709677419355,0.0,0.0,0.0,0.0,0.47672440640302394,0.5151768672569185,0.5767595804641605,0.5452700863915034,0.5571514996355198,0.4419594397614053,0.4246915014067289,0.5205315191138916
beta,0.3772177284493708,81.2258064516129,37.12903225806451,14.516129032258064,4.387096774193548,3.709677419354839,0.0,0.0,0.0,0.0,0.38804751701320456,0.39232419417076164,0.6240770827836732,0.5890790117525554,0.41972610567948887,0.4931742663696481,0.3948398087211741,0.5657222326488732
beta,0.5059974235160012,77.54838709677419,40.74193548387097,13.967741935483872,4.225806451612903,3.5806451612903225,0.0,0.0,0.0,0.0,0.4598291997809062,0.4211809591197393,0.4980210182391681,0.5173244940453825,0.6245170198194918,0.5197670515147019,0.4570660439340309,0.5681580189261148
beta,0.6787416743568971,73.87096774193549,44.354838709677416,13.419354838709678,4.064516129032258,3.4516129032258065,0.0,0.0,0.0,0.0,0.507250391251627,0.49822093425385205,0.6102620908892706,0.4075004784442897,0.5128022316656579,0.5541288863181928,0.5987175695192894,0.5988524790238461
beta,0.9104596962324965,70.19354838709677,47.96774193548387,12.870967741935484,3.903225806451613,3.3225806451612905,0.0,0.0,0.0,0.0,0.367301995371305,0.5274020733320834,0.5973683347238267,0.4383964986710207,0.5010969643144192,0.6062762024702103,0.5010544290050452,0.49318735289069454
beta,1.2212847535097677,66.51612903225806,51.58064516129032,12.322580645161292,3.741935483870968,3.193548387096774,0.0,0.0,0.0,0.0,0.538637835274822,0.38107472946028,0.4694630855616577,0.5564887520717952,0.40484343597828076,0.6108538209419168,0.493908034607108,0.5913113680612316
beta,1.638223476917678,62.83870967741936,55.193548387096776,11.774193548387098,3.5806451612903225,3.064516129032258,0.0,0.0,0.0,0.0,0.5348418268449852,0.6488114025070744,0.49839772355655204,0.4913005459320187,0.47826181293325554,0.45189067242751657,0.6518023156409283,0.5828443254167631
beta,2.197502386410313,59.16129032258065,58.806451612903224,11.225806451612904,3.4193548387096775,2.935483870967742,0.0,0.0,0.0,0.0,0.5515718114844304,0.4291711362710409,0.5322499415623037,0.5590246404515811,0.49189156105772047,0.46604031486831976,0.5502995330251639,0.5173543554922373
beta,2.947715501773197,55.483870967741936,62.41935483870967,10.67741935483871,3.2580645161290325,2.806451612903226,0.0,0.0,0.0,0.0,0.5873710487715389,0.503538331381661,0.3275372601634158,0.47218586228678733,0.5752519316324846,0.39467547455508434,0.4111225840146062,0.6208381672216293
beta,3.9540465271520318,51.80645161290323,66.03225806451613,10.129032258064516,3.096774193548387,2.67741935483871,0.0,0.0,0.0,0.0,0.5364134252992994,0.4136468570428232,0.4858007019422848,0.5131287209410552,0.4091382327755763,0.4714970921157352,0.5693485935972613,0.4708795792707555
beta,5.30393246209756,48.12903225806451,69.64516129032258,9.580645161290324,2.935483870967742,2.5483870967741935,0.0,0.0,0.0,0.0,0.4008780325520962,0.4756429462002733,0.47258011543008116,0.6386019769423511,0.4347078967887201,0.5631377005292373,0.5529586280092016,0.48968652678600555
beta,7.114660732825161,44.45161290322581,73.25806451612902,9.03225806451613,2.774193548387097,2.4193548387096775,0.0,0.0,0.0,0.0,0.4366855031901018,0.5808070576624527,0.4194038863391972,0.436840628247726,0.4510195557367854,0.31195877854400966,0.4861086995405503,0.4914131108136905
beta,9.543559934997008,40.7741935483871,76.87096774193549,8.483870967741936,2.6129032258064515,2.2903225806451615,0.0,0.0,0.0,0.0,0.6156208707603653,0.4022970991632518,0.5091353703236907,0.507260345711937,0.5072533890512545,0.6331816010398466,0.6443094652474798,0.512766173430515
beta,12.80166963024157,37.096774193548384,80.48387096774194,7.935483870967744,2.4516129032258065,2.161290322580645,0.0,0.0,0.0,0.0,0.481428485690115,0.48870537769415623,0.48421648909010667,0.4587616035343821,0.5147516630665394,0.5283844916306881,0.4770879824837022,0.5395840134741527
beta,17.17207692287632,33.41935483870968,84.09677419354838,7.38709677419355,2.2903225806451615,2.032258064516129,0.0,0.0,0.0,0.0,0.6186406169320131,0.47565856187823613,0.5364533569942029,0.6116696194994362,0.4915876216437187,0.5010522487636666,0.5668854960829963,0.57416361414831
beta,23.034513025440212,29.741935483870975,87.70967741935483,6.838709677419356,2.129032258064516,1.903225806451613,0.0,0.0,0.0,0.0,0.5937841674530797,0.5640049524775143,0.48233419123221666,0.5688750233802238,0.5028780430120948,0.5645383184873425,0.5204085762577594,0.5866098066608294
beta,30.89834693276585,26.064516129032256,91.32258064516128,6.290322580645162,1.967741935483871,1.774193548387097,0.0,0.0,0.0,0.0,0.6500230370441386,0.5965446299762923,0.47898419189995056,0.6198007095378455,0.45547306024515277,0.48717867203492915,0.4708091087120051,0.5840463546147943
beta,41.446842923188484,22.38709677419355,94.93548387096774,5.741935483870968,1.806451612903226,1.645161290322581,0.0,0.0,0.0,0.0,0.3380888990499129,0.45220083550555945,0.4209570320928528,0.5087252394415789,0.49892936455576903,0.41777248779538234,0.5579495562432686,0.6042365776606282
beta,55.59652728469412,18.709677419354847,98.54838709677419,5.193548387096776,1.645161290322581,1.5161290322580645,0.0,0.0,0.0,0.0,0.4893986978552663,0.4608781505278363,0.4931341747455799,0.6503064672561435,0.4979882108869015,0.539272356801817,0.46339582152190806,0.5713170754341454
beta,74.57682245777069,15.032258064516128,102.16129032258064,4.645161290322582,1.483870967741936,1.3870967741935485,0.0,0.0,0.0,0.0,0.575714521984274,0.520837838191738,0.4430536057195755,0.39835225438602584,0.505778764765331,0.6301051192297127,0.5270874538673669,0.5648224196425963
beta,100.03686776006599,11.354838709677423,105.77419354838709,4.096774193548388,1.32258064516129,1.2580645161290325,0.0,0.0,0.0,0.0,0.605718926523189,0.37488265589602615,0.4737085725184973,0.4246094545101168,0.4829390734903548,0.5462021059818265,0.5103619332421029,0.41342352563800644
beta,134.18880801621225,7.677419354838719,109.38709677419355,3.5483870967741957,1.161290322580645,1.129032258064516,0.0,0.0,0.0,0.0,0.4772784253189485,0.5989548209353371,0.46806381802606256,0.5170697571256626,0.5401682955143177,0.3658365903364701,0.5233527815913885,0.46873306277415483
beta,179.99999999999997,4.0,113.0,3.0,1.0,1.0,0.0,0.0,,,0.4738516857852294,0.46127422182557787,0.6023539113719469,0.4583719751603279,0.4724291769326535,0.5612422865983724,0.5738432593842787,0.4896833693732119
