band,stratification,stratum,s,contribution,abs_share,margin,abs_share_margin
theta,octave,1,0.02,0.1118940827819922,0.13604304935166395,0.01227898666741633,0.07504071676367793
theta,octave,1,0.026827870768216803,0.09082411071318996,0.10644886030455197,-0.01226158530712488,0.08764889681184027
theta,octave,1,0.03598673249780708,0.1084271990936036,0.1309230455683289,0.014017885109388346,0.11312270121652872
theta,octave,1,0.048272370441077836,0.10074672826458245,0.1254835765423324,0.0032325313224650584,0.09237608153858078
theta,octave,1,0.06475224579343625,0.0918175553365277,0.12032354292631935,-0.002139699339860586,0.10671885111812136
theta,octave,1,0.08685824410490588,0.12229306543161639,0.14254913677012362,0.020989716648212753,0.12943921922156504
theta,octave,1,0.11651108740003221,0.08912807215218538,0.11572826234472813,-0.015951494168169843,0.1250497104842985
theta,octave,1,0.1562872197916239,0.10915602407066882,0.12392535890196368,0.007834684865407997,0.07119176795287896
theta,octave,1,0.20964266676467905,0.11588619009565237,0.133801768823995,0.01883764684328612,0.16278387917052164
theta,octave,1,0.28121331857335746,0.06330043687728626,0.07720565162427523,-0.029872288092035598,0.17465964769158676
theta,octave,1,0.3772177284493708,0.09920007647785647,0.12460854344805064,0.002566265399664057,0.1267613034889671
theta,octave,1,0.5059974235160012,0.09518680154585173,0.11647644314023543,0.0023994724798611367,0.0625976476199821
theta,octave,1,0.6787416743568971,0.11245971734126224,0.11975631109055689,0.014976359926659008,0.14445422663788246
theta,octave,1,0.9104596962324965,0.0932388992005905,0.11599261913805733,-0.0009850871027630367,0.08144851562486106
theta,octave,1,1.2212847535097677,0.10760108804783641,0.1354094317396142,0.0018080964026979257,0.12677900211340434
theta,octave,1,1.638223476917678,0.1048015789523269,0.13172952503667362,0.01438198774676075,0.09913420099510908
theta,octave,1,2.197502386410313,0.09584998905560699,0.11731637043465128,-0.009263135419276099,0.1506541450622624
theta,octave,1,2.947715501773197,0.09667781114820428,0.12174931753929827,-0.001364744483902558,0.10946381526449633
theta,octave,1,3.9540465271520318,0.10195213843339229,0.12381897141956755,-0.005759545525376546,0.12259112392711455
theta,octave,1,5.30393246209756,0.08410669995336034,0.11083415737771357,-0.01840517746795814,0.10454870829705744
theta,octave,1,7.114660732825161,0.09172180310890365,0.12097305944878467,-0.0017113551610508024,0.11548375040089763
theta,octave,1,9.543559934997008,0.09815723356601244,0.12669496929762217,0.005594434355317021,0.12338874649040654
theta,octave,1,12.80166963024157,0.10486279045948456,0.12941142352145352,0.0032616755261501845,0.10390052901921856
theta,octave,1,17.17207692287632,0.10339226428281988,0.1322903368596558,0.0027245610769246267,0.11050048801672484
theta,octave,1,23.034513025440212,0.10442053447656151,0.13419888753180714,0.0010378940682415627,0.15196088796167884
theta,octave,1,30.89834693276585,0.096576449246006,0.1181552480876871,-0.003582367555425195,0.10591423375959205
theta,octave,1,41.446842923188484,0.10201041019361215,0.1329478002808206,0.0017344769167502438,0.055975111084164184
theta,octave,1,55.59652728469412,0.09289896750911544,0.11748204599703381,-0.006587952880349711,0.05502207390754084
theta,octave,1,74.57682245777069,0.0930440094859982,0.109566900358866,-0.006180364677897655,0.1185978964246214
theta,octave,1,100.03686776006599,0.08255500991442744,0.10275151813305688,-0.019546413342766286,0.14807901287263037
theta,octave,1,134.18880801621225,0.11616394229193953,0.14262710467984407,0.01947787336965827,0.11650517742917779
theta,octave,1,179.99999999999997,0.08938193864694799,0.10520569080091238,-0.008133088591789572,0.09753297690530352
theta,octave,2,0.02,0.09166114417162352,0.11223801626976174,-0.012022580362142994,0.10278349702846593
theta,octave,2,0.026827870768216803,0.10702345868857127,0.12227623899008531,0.005450385733032546,0.11165817352141488
theta,octave,2,0.03598673249780708,0.10185941898690462,0.1220046473689175,0.004385978431212585,0.12698059647420248
theta,octave,2,0.048272370441077836,0.08219082105350908,0.10935813596504484,-0.014129777216877915,0.16634282937007583
theta,octave,2,0.06475224579343625,0.09978570989056668,0.1349870696622123,0.0032134353662925733,0.11418328219498536
theta,octave,2,0.08685824410490588,0.1137064675844056,0.13797610517014935,0.011923646663262885,0.13313526382276664
theta,octave,2,0.11651108740003221,0.11486226956850529,0.13178876678619267,0.013394387399283003,0.14718031066471443
theta,octave,2,0.1562872197916239,0.0990224891899388,0.11824804563702745,-0.005468758605583407,0.22627351446543167
theta,octave,2,0.20964266676467905,0.09832340343247503,0.11493291364620756,-0.00041155042966281585,0.034702132127233595
theta,octave,2,0.28121331857335746,0.09114160657339196,0.1046285446446443,-0.01281794171370168,0.10593085689390136
theta,octave,2,0.3772177284493708,0.09937534353832107,0.1150774046717723,0.0005606409455309463,0.1366463496724463
theta,octave,2,0.5059974235160012,0.1006471281249115,0.12296772589251864,-5.275861923584313e-05,0.08689904258659331
theta,octave,2,0.6787416743568971,0.10817033553135921,0.12457989246781553,0.008493300576595433,0.09856670926626868
theta,octave,2,0.9104596962324965,0.09665980263840682,0.12417721009985519,-0.0006487692317142871,0.11665599872776111
theta,octave,2,1.2212847535097677,0.09652218937918587,0.11973950298310276,-0.00446115328052938,0.05086945518358203
theta,octave,2,1.638223476917678,0.10600872100225105,0.1288258332231903,0.0085520403914751,0.09479179409245796
theta,octave,2,2.197502386410313,0.11946005806699518,0.13286471974739356,0.010647041391582526,0.15750958594097422
theta,octave,2,2.947715501773197,0.10043505398427677,0.12441798735009904,-0.001015755199391885,0.089826403726992
theta,octave,2,3.9540465271520318,0.0796671978642397,0.10744749841371806,-0.020637842843609977,0.17296079444153906
theta,octave,2,5.30393246209756,0.09847735198069088,0.12705986557146165,-0.0005341410798434254,0.16092435090794038
theta,octave,2,7.114660732825161,0.10137295165914365,0.11481315593919963,0.002717565431671315,0.11301147509154014
theta,octave,2,9.543559934997008,0.08951735948223435,0.11624056963594857,-0.010347616663580916,0.09764366826349907
theta,octave,2,12.80166963024157,0.09919613886470396,0.12750752759154627,0.003771306022493384,0.11475632563781027
